SL NO.,Title,Authors,Published Year,Abstract,Paper Link
7,Machine learning for the prediction of mortality in patients with sepsis-associated acute kidney injury: a systematic review and meta-analysis,"Xiangui Lv, Daiqiang Liu, Xinwei Chen, Lvlin Chen, Xiaohui Wang, Xiaomei Xu, Lin Chen, Chao Huang",21 December 2024,"Abstract

Background
Predicting mortality in sepsis-related acute kidney injury facilitates early data-driven treatment decisions. Machine learning is predicting mortality in S-AKI in a growing number of studies. Therefore, we conducted this systematic review and meta-analysis to investigate the predictive value of machine learning for mortality in patients with septic acute kidney injury.

Methods
The PubMed, Web of Science, Cochrane Library and Embase databases were searched up to 20 July 2024 This was supplemented by a manual search of study references and review articles. Data were analysed using STATA 14.0 software. The risk of bias in the prediction model was assessed using the Predictive Model Risk of Bias Assessment Tool.

Results
A total of 8 studies were included, with a total of 53 predictive models and 17 machine learning algorithms used. Meta-analysis using a random effects model showed that the overall C index in the training set was 0.81 (95% CI: 0.78–0.84), sensitivity was 0.39 (0.32–0.47), and specificity was 0.92 (95% CI: 0.89–0.95). The overall C-index in the validation set was 0.73 (95% CI: 0.71–0.74), sensitivity was 0.54 (95% CI: 0.48–0.60) and specificity was 0.90 (95% CI: 0.88–0.91). The results showed that the machine learning algorithms had a good performance in predicting sepsis-related acute kidney injury death prediction.

Conclusion
Machine learning has been shown to be an effective tool for predicting sepsis-associated acute kidney injury deaths, which has important implications for enhancing risk assessment and clinical decision-making to improve sepsis patient care. It is also eagerly anticipated that future research efforts will incorporate larger sample sizes and multi-centre studies to more intensively examine the external validation of these models in different patient populations, allowing for a more in-depth exploration of sepsis-associated acute kidney injury in terms of accurate diagnostic efficacy across a diverse range of model and predictor types.
Trial registration
This study was registered with PROSPERO (CRD42024569420).",https://link.springer.com/article/10.1186/s12879-024-10380-6
8,Applying Machine Learning to Carotid Sonographic Features for Recurrent Stroke in Patients With Acute Stroke,"Shih-Yi Lin, Kin-Man Law, Yi-Chun Yeh, Kuo-Chen Wu, Jhih-Han Lai, Chih-Hsueh Lin, Wu-Huei Hsu, Cheng-Chieh Lin, Chia-Hung Kao",2022/01/28,"Abstract

Background: Although carotid sonographic features have been used as predictors of recurrent stroke, few large-scale studies have explored the use of machine learning analysis of carotid sonographic features for the prediction of recurrent stroke.

Methods: We retrospectively collected electronic medical records of enrolled patients from the data warehouse of China Medical University Hospital, a tertiary medical center in central Taiwan, from January 2012 to November 2018. We included patients who underwent a documented carotid ultrasound within 30 days of experiencing an acute first stroke during the study period. We classified these participants into two groups: those with non-recurrent stroke (those who has not been diagnosed with acute stroke again during the study period) and those with recurrent stoke (those who has been diagnosed with acute stroke during the study period). A total of 1,235 carotid sonographic parameters were analyzed. Data on the patients' demographic characteristics and comorbidities were also collected. Python 3.7 was used as the programming language, and the scikit-learn toolkit was used to complete the derivation and verification of the machine learning methods.

Results: In total, 2,411 patients were enrolled in this study, of whom 1,896 and 515 had non-recurrent and recurrent stroke, respectively. After extraction, 43 features of carotid sonography (36 carotid sonographic parameters and seven transcranial color Doppler sonographic parameter) were analyzed. For predicting recurrent stroke, CatBoost achieved the highest area under the curve (0.844, CIs 95% 0.824–0.868), followed by the Light Gradient Boosting Machine (0.832, CIs 95% 0.813–0.851), random forest (0.819, CIs 95% 0.802–0.846), support-vector machine (0.759, CIs 95% 0.739–0.781), logistic regression (0.781, CIs 95% 0.764–0.800), and decision tree (0.735, CIs 95% 0.717–0.755) models.

Conclusion: When using the CatBoost model, the top three features for predicting recurrent stroke were determined to be the use of anticoagulation medications, the use of NSAID medications, and the resistive index of the left subclavian artery. The CatBoost model demonstrated efficiency and achieved optimal performance in the predictive classification of non-recurrent and recurrent stroke.",https://www.frontiersin.org/journals/cardiovascular-medicine/articles/10.3389/fcvm.2022.804410/full
13,www.cell.com,,N/A,https://www.cell.com/heliyon/fulltext/S2405-8440(23)09410-0,https://www.cell.com/heliyon/fulltext/S2405-8440(23)09410-0
14,Use of machine learning models to predict mortality in dialysis patients,"Junmin Huang, Lu Chen, Hongying Luo, Junhao Song, Ziqian Bi, Keyu Chen, Xin Liang Chia, Ming Liu, Tianyang Wang, Benji Peng, Zihan Wei, Zhiqing Huang, Zhihang Li, Xincheng Liu, Hongjiu Zhou, Weihuang Zhang, Wen Wen, Mianna Luo, Shujun Wang, Huafeng Liu, Chunjie Tian, Jibin Guan, Joe Yeong, Yongzhi Xu, Peng Wang, Junfeng Hao",2025/12/05,"Abstract

Background: Mortality among maintenance hemodialysis patients remains high, and traditional statistical models often fail to capture complex clinical relationships. This study aimed to systematically develop, compare, and validate 19 machine learning algorithms for predicting all-cause mortality in maintenance hemodialysis patients.

Methods: This retrospective study included data from 538 maintenance hemodialysis patients (2018.1–2023.12), with 70% used for training and 30% for testing. Each model underwent hyperparameter optimization based on three performance metrics (accuracy, F1-score, and ROC Area Under the Curve [AUC]) to evaluate the impact of different clinical priorities.

Results: Gradient boosting models demonstrated consistent superiority, with performance outcomes highly sensitive to the selected optimization target. XGBoost optimized for accuracy achieved an F1 score of 0.683 and a ROC AUC of 0.899. AdaBoost optimized for F1 score attained the highest ROC AUC of 0.903 and an F1 score of 0.682. AdaBoost also demonstrated robust performance across optimization strategies, suggesting its suitability for clinical implementation where balanced risk prediction is essential.

Conclusion: A systematic ML framework can yield tailored, high-performing models for mortality risk stratification in maintenance hemodialysis patients, with significant potential to enhance identification and management of high-risk individuals in clinical practice.

Clinical trial number Registry: Chinese Clinica Trial Registry (ChiCTR), TRN:ChiCTR2500103960, Registration date: 9 June 2025.",https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2025.1683285/full
15,Combination of Feature Selection and CatBoost for Prediction: The First Application to the Estimation of Aboveground Biomass,"Mi Luo, Yifu Wang, Yunhong Xie, Lai Zhou, Jingjing Qiao, Siyu Qiu, Yujun Sun",13 February 2021,"Abstract

Increasing numbers of explanatory variables tend to result in information redundancy and “dimensional disaster” in the quantitative remote sensing of forest aboveground biomass (AGB). Feature selection of model factors is an effective method for improving the accuracy of AGB estimates. Machine learning algorithms are also widely used in AGB estimation, although little research has addressed the use of the categorical boosting algorithm (CatBoost) for AGB estimation. Both feature selection and regression for AGB estimation models are typically performed with the same machine learning algorithm, but there is no evidence to suggest that this is the best method. Therefore, the present study focuses on evaluating the performance of the CatBoost algorithm for AGB estimation and comparing the performance of different combinations of feature selection methods and machine learning algorithms. AGB estimation models of four forest types were developed based on Landsat OLI data using three feature selection methods (recursive feature elimination (RFE), variable selection using random forests (VSURF), and least absolute shrinkage and selection operator (LASSO)) and three machine learning algorithms (random forest regression (RFR), extreme gradient boosting (XGBoost), and categorical boosting (CatBoost)). Feature selection had a significant influence on AGB estimation. RFE preserved the most informative features for AGB estimation and was superior to VSURF and LASSO. In addition, CatBoost improved the accuracy of the AGB estimation models compared with RFR and XGBoost. AGB estimation models using RFE for feature selection and CatBoost as the regression algorithm achieved the highest accuracy, with root mean square errors (RMSEs) of 26.54 Mg/ha for coniferous forest, 24.67 Mg/ha for broad-leaved forest, 22.62 Mg/ha for mixed forests, and 25.77 Mg/ha for all forests. The combination of RFE and CatBoost had better performance than the VSURF–RFR combination in which random forests were used for both feature selection and regression, indicating that feature selection and regression performed by a single machine learning algorithm may not always ensure optimal AGB estimation. It is promising to extending the application of new machine learning algorithms and feature selection methods to improve the accuracy of AGB estimates.",https://www.mdpi.com/1999-4907/12/2/216
16,Assessment of machine learning models for estimating daily reference evapotranspiration in semi-arid region,"Mohammed A. Atiea, Doaa E. El-Agha",09 June 2025,"Abstract
Evapotranspiration (ET) has been the focus of research for decades as it is the key to improving water resources management. This study addresses the estimation of daily reference evapotranspiration (ET₀) using machine learning (ML) models with limited meteorological data in newly developed agricultural areas in Egypt. The study tested five methods for selecting key input features to compare the performance of 20 ML models across 14 stations using available daily meteorological data from 1943 to 2024. The modified FAO Penman–Monteith (PM) method was used to estimate ET₀ as a benchmark for evaluating the performance of ML models. The Categorical Boosting (CatBoost) regressor achieved the highest performance across all stations when using the complete feature dataset and maintained high performance with three features. Furthermore, the results showed consistent success of CatBoost, Light Gradient Boosting Machine (LightGBM), and Gradient Boosting Machine (GB) when two features, selected by Sequential Forward Selection (SFS) method, were used. This highlights the feature selection method’s ability to capture the most important meteorological variables, making it a valuable tool for improving ET₀ prediction in different agroclimatic regions. In addition, wind speed (U) and maximum temperature (Tmax) were identified as critical predictors of daily ET₀ in Egypt. This approach offers a practical solution for improving water management in newly reclaimed desert areas, not only in Egypt but also in other regions with similar climatic conditions.",https://link.springer.com/article/10.1007/s11356-025-36582-2
9,onlinelibrary.wiley.com,,N/A,https://onlinelibrary.wiley.com/doi/abs/10.1002/for.2931,https://onlinelibrary.wiley.com/doi/abs/10.1002/for.2931
17,Spectral Feature Integration and Ensemble Learning Optimization for Regional-Scale Landslide Susceptibility Mapping in Mountainous Areas,"Yun Tian, Taorui Zeng, Linfeng Wang, Gang Chen, Sihang Yang, Hao Chen, Ligang Wang",23 January 2026,"Abstract

What are the main findings?",https://www.mdpi.com/2072-4292/18/3/382
18,An explainable artificial intelligence framework for risk prediction of COPD in smokers,"Xuchun Wang, Yuchao Qiao, Yu Cui, Hao Ren, Ying Zhao, Liqin Linghu, Jiahui Ren, Zhiyang Zhao, Limin Chen, Lixia Qiu",06 November 2023,"Abstract

Background
Since the inconspicuous nature of early signs associated with Chronic Obstructive Pulmonary Disease (COPD), individuals often remain unidentified, leading to suboptimal opportunities for timely prevention and treatment. The purpose of this study was to create an explainable artificial intelligence framework combining data preprocessing methods, machine learning methods, and model interpretability methods to identify people at high risk of COPD in the smoking population and to provide a reasonable interpretation of model predictions.

Methods
The data comprised questionnaire information, physical examination data and results of pulmonary function tests before and after bronchodilatation. First, the factorial analysis for mixed data (FAMD), Boruta and NRSBoundary-SMOTE resampling methods were used to solve the missing data, high dimensionality and category imbalance problems. Then, seven classification models (CatBoost, NGBoost, XGBoost, LightGBM, random forest, SVM and logistic regression) were applied to model the risk level, and the best machine learning (ML) model’s decisions were explained using the Shapley additive explanations (SHAP) method and partial dependence plot (PDP).

Results
In the smoking population, age and 14 other variables were significant factors for predicting COPD. The CatBoost, random forest, and logistic regression models performed reasonably well in unbalanced datasets. CatBoost with NRSBoundary-SMOTE had the best classification performance in balanced datasets when composite indicators (the AUC, F1-score, and G-mean) were used as model comparison criteria. Age, COPD Assessment Test (CAT) score, gross annual income, body mass index (BMI), systolic blood pressure (SBP), diastolic blood pressure (DBP), anhelation, respiratory disease, central obesity, use of polluting fuel for household heating, region, use of polluting fuel for household cooking, and wheezing were important factors for predicting COPD in the smoking population.

Conclusion
This study combined feature screening methods, unbalanced data processing methods, and advanced machine learning methods to enable early identification of COPD risk groups in the smoking population. COPD risk factors in the smoking population were identified using SHAP and PDP, with the goal of providing theoretical support for targeted screening strategies and smoking population self-management strategies.",https://link.springer.com/article/10.1186/s12889-023-17011-w
10,Global performance of machine learning models to predict all-cause mortality: systematic review and meta-analysis,"Felipe Mendes Delpino, Ludmila Pereira Pimenta, Diego Ferreira Gonzalez, Audêncio Victor, Cinthia Fonseca Araujo, Keisyanne De Araujo-Moura, J. Jaime Miranda, Sandro Rogério Rodrigues Batista, Alexandre Dias Porto Chiavegatto Filho, Bruno Pereira Nunes",27 November 2025,"Abstract
We aimed to review the literature on the performance of machine learning models to predict all-cause mortality. The systematic review was protocolled in PROSPERO (CRD42023476567) following PRISMA guidelines. Searches were conducted in PubMed, LILACS, Web of Science, and Scopus databases. Studies predicting all-cause mortality using machine learning were analyzed with random-effects models, with heterogeneity assessed using I2 statistics and quality evaluated using TRIPOD + AI. The meta-analysis included 88 studies. Most of the studies were from the United States (n = 25) and China (n = 20). Overall pooled AUC was 0.831 (95% CI 0.797–0.865), with extreme heterogeneity (I2:100%). The majority of the studies included no social variables in the models (89.8%). Subgroup analysis showed similar performance between general population studies and disease-specific populations. Models from high-income countries were similar to those from low- and middle-income countries. Meta-regression showed covariates that affected the results: algorithm, population type, study quality score, and study CI imputation. Equity-oriented sub-group analysis (< 10%) and external validation in other datasets (8.0%) were scarce. Overall, machine learning models showed high performance to predict all-cause mortality, but also highlighted equity gaps. The limitations reduce the potential of public health’s evaluation and deployment due to the risk of perpetuation of social disparities. Extreme heterogeneity indicates highly context-dependent performance requiring local validation before implementation assessment.",https://www.nature.com/articles/s41598-025-26714-6
11,Boosting-Based Machine Learning Applications in Polymer Science: A Review,"Ivan Malashin, Vadim Tynchenko, Andrei Gantimurov, Vladimir Nelyub, Aleksei Borodulin",14 February 2025,"Abstract

The increasing complexity of polymer systems in both experimental and computational studies has led to an expanding interest in machine learning (ML) methods to aid in data analysis, material design, and predictive modeling. Among the various ML approaches, boosting methods, including AdaBoost, Gradient Boosting, XGBoost, CatBoost and LightGBM, have emerged as powerful tools for tackling high-dimensional and complex problems in polymer science. This paper provides an overview of the applications of boosting methods in polymer science, highlighting their contributions to areas such as structure–property relationships, polymer synthesis, performance prediction, and material characterization. By examining recent case studies on the applications of boosting techniques in polymer science, this review aims to highlight their potential for advancing the design, characterization, and optimization of polymer materials.",https://www.mdpi.com/2073-4360/17/4/499
12,Machine Learning for Gas Capture in Ionic Liquids: Current Status and Future Trends,"Guocai Tian, Zhiqiang Hu, Ranran Geng",1 July 2026,"Abstract

Ionic liquids, as green gas solubility media, have great potential for applications in carbon capture, industrial waste gas purification, and other fields. However, the massive combination of anions and cations makes their screening extremely difficult. Machine learning can break through the bottleneck of traditional experiments and simulations and achieve high-throughput prediction of gas solubility in ionic liquids. This article provides a systematic review of the research progress of machine learning in predicting the gas solubility performance of ionic liquids. The classification and modeling process of machine learning, the construction and performance of machine learning prediction models for the solubility of gases such as CO2, H2S, NH3, SO2, N2O and others in ionic liquids were analyzed and summarized. The progress and existing problems of machine learning application for gas capture in ionic liquids and the future development direction are discussed, in order to provide assistance and theoretical reference for the directional design and industrial application of ionic liquids.",https://www.mdpi.com/1420-3049/31/13/2293
19,Are you a robot?,,N/A,https://www.sciencedirect.com/science/article/pii/S0011384026001565,https://www.sciencedirect.com/science/article/pii/S0011384026001565
20,Concrete compressive strength classification using hybrid machine learning models and interactive GUI,"Mostafa M. Alsaadawi, Mohamed Kamel Elshaarawy, Abdelrahman Kamal Hamed",28 April 2025,"Abstract
Concrete Compressive Strength (CCS) is a critical parameter in structural engineering, influencing durability, safety, and load-bearing capacity. This study explores the classification of CCS using hybrid Machine Learning (ML) techniques and an interactive Graphical User Interface (GUI). Advanced ML algorithms: Random Forest (RF), Adaptive-Boosting (AdaBoost), Extreme-Gradient-Boosting (XGBoost), Light-Gradient Boosting Machine (LightGBM), and Categorical-Boosting (CatBoost) were applied to categorize strength into Low, Normal, and High classes. The dataset, comprising 1298 samples, was split into 80% training and 20% testing for evaluation. Hyperparameter tuning was applied using Bayesian Optimization with fivefold stratified cross-validation, resulting greatly improved the model’s performance. 

Results showed that LightGBM achieved the highest accuracy, with scores of 0.931 (Low), 0.865 (Normal), and 0.935 (High), and corresponding area under the curve values of 0.967, 0.938, and 0.981. CatBoost also performed well, particularly in Normal and High strength classes, while XGBoost showed slight overfitting in the Normal class. RF and AdaBoost had acceptable performance but struggled with boundary cases. To interpret model predictions, SHapley-Additive-exPlanations (SHAP) analysis was used. Curing duration and cement content were the most influential factors across all strength classes, while water content and superplasticizer played secondary roles. Coarse aggregate became more significant in High-Strength Concrete (HSC). A GUI was developed to allow practitioners to input data and receive real-time strength classifications, bridging the gap between machine learning and practical applications in concrete design.",https://link.springer.com/article/10.1007/s41062-025-01983-2
13,www.cell.com,,N/A,https://www.cell.com/heliyon/fulltext/S2405-8440(23)09410-0,https://www.cell.com/heliyon/fulltext/S2405-8440(23)09410-0
21,Evaluating the efficacy of AI-driven intrusion detection systems in IoT: a review of performance metrics and cybersecurity threats,"Jianwei Tian, Hongyu Zhu","November 17, 2025","Abstract

Background
The growing scale and complexity of Internet of Things (IoT) environments have intensified the need for intelligent and adaptive cybersecurity mechanisms. Artificial intelligence (AI)-based intrusion detection systems (IDS) have emerged as a promising solution for identifying and mitigating threats in real time.

Methodology
This review systematically evaluates the effectiveness of AI-based IDS in IoT networks, following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) 2020 guidelines. A comprehensive search of the Scopus and Web of Science databases was conducted, yielding 203 studies, of which 51 met the inclusion criteria. Eligible studies, published between 2016 and 2025, were analyzed for geographic distribution, AI techniques used, methodological quality, and reported outcomes. Meta-regression and contour-enhanced funnel plots were employed to assess effect size trends and publication bias.

Results
Most studies originated from India, Saudi Arabia, and China, with research output peaking in 2024. Meta-regression analysis revealed a positive correlation between publication year and reported effect size, indicating progressive advancements in AI methodologies. Machine learning (ML) and deep learning (DL) were the most widely used techniques, with a growing trend toward hybrid and ensemble models that enhance threat detection accuracy. Recent studies also showed increased interest in explainable artificial intelligence (XAI), reflecting the demand for transparency and interpretability in model outputs. Funnel plot asymmetry suggested a bias toward publishing positive findings.

Conclusions
AI-based IDSs have demonstrated substantial potential in strengthening IoT security, particularly through ML, DL, and hybrid approaches. However, inconsistencies in evaluation metrics, reporting standards, and methodological design remain significant challenges. The findings highlight the need for standardized benchmarks and robust frameworks to guide future research and ensure reliable deployment of AI-driven IDS in diverse IoT contexts.",https://peerj.com/articles/cs-3352/
22,From dry eye to depression: a machine learning-based framework for predicting adolescent mental health,"…, P Xian, X Liu, K Cao, L Ren, Y Chang, Z Ma, L Tian…",2025,N/A,N/A
