SL NO.,Title,Authors,Published Year,Abstract,Paper Link
14,Pyroptosis-Related Gene Signatures Can Robustly Diagnose Skin Cutaneous Melanoma and Predict the Prognosis,"Anji Ju, Jiaze Tang, Shuohua Chen, Yan Fu, Yongzhang Luo",7/13/2021,"Abstract Skin cutaneous melanoma (SKCM) is a chronically malignant tumor with a high mortality rate. Pyroptosis, a kind of pro-inflammatory programmed cell death, has been linked to cancer in recent studies. However, the value of pyroptosis in the diagnosis and prognosis of SKCM is not clear. In this study, it was discovered that 20 pyroptosis-related genes (PRGs) differed in expression between SKCM and normal tissues, which were related to diagnosis and prognosis. Firstly, based on these genes, nine machine-learning algorithms were shown to perform well in constructing diagnostic classifiers, including K-Nearest Neighbor (KNN), logistic regression, Support Vector Machine (SVM), Artificial Neural Network (ANN), decision tree, random forest, XGBoost, LightGBM, and CatBoost. Secondly, the least absolute shrinkage and selection operator (LASSO) Cox regression analysis was applied and the prognostic model was constructed based on 9 PRGs. Subgroups in low and high risks determined by the prognostic model were shown to have different survival. Thirdly, functional enrichment analyses were performed by applying the gene set enrichment analysis (GSEA), and results suggested that the risk was related to immune response. In conclusion, the expression signatures of pyroptosis-related genes are effective and robust in the diagnosis and prognosis of SKCM, which is related to immunity.",https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2021.709077/full
15,New hybrid multi-objective feature selection: Boruta-XGBoost,"Tohid Yousefi, Özlem Varlıklar",28-Jan-26,"Abstract

In the era of data-intensive science, feature selection has become a cornerstone of building robust machine learning models, particularly in biomedical fields where datasets are often high-dimensional. The process of identifying a subset of relevant and non-redundant features is not merely a means of reducing computational overhead; it is crucial for enhancing model accuracy, preventing overfitting, and improving the interpretability of results. Despite its importance, finding an optimal feature subset remains a significant challenge. This study introduces and validates a novel two-stage hybrid framework, named Boruta-XGBoost (Boruta-Extreme Gradient Boosting), designed to synergize feature selection and prediction. We demonstrate the efficacy of this framework on the complex task of estimating body fat percentage, a problem characterized by correlated anatomical predictors. Our primary goal is to benchmark its performance against a comprehensive suite of established machine learning algorithms. Our proposed framework unfolds in two distinct stages. Initially, we leverage the Boruta algorithm—a powerful wrapper method based on Random Forest—to systematically identify all statistically relevant features. This step ensures that no potentially important variables, including those with subtle interaction effects, are prematurely discarded. Subsequently, an Extreme Gradient Boosting (XGBoost) model is trained exclusively on this refined feature subset. To establish a robust benchmark, we evaluated 16 other models (six linear and 10 non-linear) using the complete feature set. All models were assessed via a 70/30 train-test split and validated using 10-fold cross-validation, with the coefficient of determination (R2) and Root Mean Square Error (RMSE) serving as the primary performance metrics. When trained on the full set of features, the best-performing conventional model—non-linear support vector regression—yielded an R2 of 0.77. In striking contrast, our Boruta-XGBoost framework achieved a markedly superior R2 of 0.88 and a correspondingly lower RMSE. A key finding is that this enhanced predictive accuracy was accomplished using just six features (representing only 46% of the original 13), which were autonomously identified by the Boruta stage.

Conclusion
Our results compellingly demonstrate that the proposed Boruta-XGBoost hybrid framework offers a substantial improvement over conventional modeling approaches. By intelligently decoupling feature selection from prediction, our method constructs a more parsimonious and powerful model. This two-stage strategy underscores the value of integrating rigorous statistical feature filtering with state-of-the-art predictive algorithms, presenting a potent and generalizable approach for tackling complex prediction problems.",https://peerj.com/articles/cs-3463/
16,Automatic Feature Selection for Imbalanced Echocardiogram Data Using Event-Based Self-Similarity,"Huang-Nan Huang, Hong-Min Chen, Wei-Wen Lin, Rita Wiryasaputra, Yung-Cheng Chen, Yu-Huei Wang, Chao-Tung Yang",11-Apr-25,"Abstract

Background and 

Objective: Using echocardiogram data for cardiovascular disease (CVD) can lead to difficulties due to imbalanced datasets, leading to biased predictions. Machine learning models can enhance prognosis accuracy, but their effectiveness is influenced by optimal feature selection and robust classification techniques. This study introduces an event-based self-similarity approach to enhance automatic feature selection approach for imbalanced echocardiogram data. Critical features correlated with disease progression were identified by leveraging self-similarity patterns. This study used an echocardiogram dataset, visual presentations of high-frequency sound wave signals, and data of patients with heart disease who are treated using three treatment methods: catheter ablation, ventricular defibrillator, and drug control—over the course of three years. 

Methods: The dataset was classified into nine categories and Recursive Feature Elimination (RFE) was applied to identify the most relevant features, reducing model complexity while maintaining diagnostic accuracy. Machine learning classification models, including XGBoost and CATBoost, were trained and evaluated. 

Results: Both models achieved comparable accuracy values, 84.3% and 88.4%, respectively, under different normalization techniques. To further optimize performance, the models were combined into a voting ensemble, improving feature selection and predictive accuracy. Four essential features—age, aorta (AO), left ventricular (LV), and left atrium (LA)—were identified as critical for prognosis and were found in Random Forest (RF)-voting ensemble classifier. The results underscore the importance of feature selection techniques in handling imbalanced datasets, improving classification robustness, and reducing bias in automated prognosis systems. 

Conclusions: Our findings highlight the potential of machine learning-driven echocardiogram analysis to enhance patient care by providing accurate, data-driven assessments.",https://www.mdpi.com/2075-4418/15/8/976
17,Detecting Thyroid Disease Using Optimized Machine Learning Model Based on Differential Evolution,"Punit Gupta, Furqan Rustam, Khadija Kanwal, Wajdi Aljedaani, Sultan Alfarhood, Mejdl Safran, Imran Ashraf",3-Jan-24,"Abstract
Thyroid disease has been on the rise during the past few years. Owing to its importance in metabolism, early detection of thyroid disease is a task of critical importance. Despite several existing works on thyroid disease detection, the problem of class imbalance is not investigated very well. In addition, existing studies predominantly focus on the binary-class problem. This study aims to solve these issues by the proposed approach where ten types of thyroid diseases are considered. The proposed approach uses a differential evolution (DE)-based optimization algorithm to fine-tune the parameters of machine learning models. Moreover, conditional generative adversarial networks are used for data augmentation. Several sets of experiments are carried out to analyze the performance of the proposed approach with and without model optimization. 

Results suggest that a 0.998 accuracy score can be obtained using AdaBoost with DE optimization which is better than existing state-of-the-art models.",https://link.springer.com/article/10.1007/s44196-023-00388-2
18,Recent progress in the data-driven discovery of novel photovoltaic materials,"Tian Lu, Minjie Li, Tong-Yi Zhang",2022,"Abstract

The discovery of new photovoltaic materials can facilitate technological progress in clean energy and hence benefit overall societal development. Machine learning (ML) and deep learning (DL) technologies integrated with domain knowledge are revolutionizing the traditional trial-and-error research paradigm that is associated with high costs, inefficiency, and significant human effort. This review provides an overview of the recent progress in the data-driven discovery of novel photovoltaic materials for perovskite, dye-sensitized and organic solar cells. The integral workflow of the ML/DL training progress is briefly introduced, covering data preparation, feature engineering, model building and their applications. The cutting-edge challenges and issues in the ML/DL workflow are summarized specifically for photovoltaic materials. Real examples are emphasized to illustrate how to utilize ML/DL techniques in the discovery of novel photovoltaic materials. The prospects and future directions of the data-driven discovery of novel photovoltaic materials are also provided.",https://www.oaepublish.com/articles/jmi.2022.07
19,Identification of prognostic signatures in remnant gastric cancer through an interpretable risk model based on machine learning: a multicenter cohort study,"Zhouwei Zhan, Bijuan Chen, Hui Cheng, Shaohua Xu, Chunping Huang, Sijing Zhou, Haiting Chen, Xuanping Lin, Ruyu Lin, Wanting Huang, Xiaohuan Ma, Yu Fu, Zhipeng Chen, Hanchen Zheng, Songchang Shi, Zengqing Guo, Lihui Zhang",30-Apr-24,"Abstract

Objective
The purpose of this study was to develop an individual survival prediction model based on multiple machine learning (ML) algorithms to predict survival probability for remnant gastric cancer (RGC).

Methods
Clinicopathologic data of 286 patients with RGC undergoing operation (radical resection and palliative resection) from a multi-institution database were enrolled and analyzed retrospectively. These individuals were split into training (80%) and test cohort (20%) by using random allocation. Nine commonly used ML methods were employed to construct survival prediction models. Algorithm performance was estimated by analyzing accuracy, precision, recall, F1-score, area under the receiver operating characteristic curve (AUC), confusion matrices, five-fold cross-validation, decision curve analysis (DCA), and calibration curve. The best model was selected through appropriate verification and validation and was suitably explained by the SHapley Additive exPlanations (SHAP) approach.

Results
Compared with the traditional methods, the RGC survival prediction models employing ML exhibited good performance. Except for the decision tree model, all other models performed well, with a mean ROC AUC above 0.7. The DCA findings suggest that the developed models have the potential to enhance clinical decision-making processes, thereby improving patient outcomes. The calibration curve reveals that all models except the decision tree model displayed commendable predictive performance. Through CatBoost-based modeling and SHAP analysis, the five-year survival probability is significantly influenced by several factors: the lymph node ratio (LNR), T stage, tumor size, resection margins, perineural invasion, and distant metastasis.

Conclusions
This study established predictive models for survival probability at five years in RGC patients based on ML algorithms which showed high accuracy and applicative value.",https://link.springer.com/article/10.1186/s12885-024-12303-9
20,Ensemble learning based on efficient features combination can predict the outcome of recurrence-free survival in patients with hepatocellular carcinoma within three years after surgery,"Liyang Wang, Meilong Wu, Chengzhan Zhu, Rui Li, Shiyun Bao, Shizhong Yang, Jiahong Dong",11/10/2022,"Abstract Preoperative prediction of recurrence outcome in hepatocellular carcinoma (HCC) facilitates physicians’ clinical decision-making. Preoperative imaging and related clinical baseline data of patients are valuable for evaluating prognosis. With the widespread application of machine learning techniques, the present study proposed the ensemble learning method based on efficient feature representations to predict recurrence outcomes within three years after surgery. Radiomics features during arterial phase (AP) and clinical data were selected for training the ensemble models. In order to improve the efficiency of the process, the lesion area was automatically segmented by 3D U-Net. It was found that the mIoU of the segmentation model was 0.8874, and the Light Gradient Boosting Machine (LightGBM) was the most superior, with an average accuracy of 0.7600, a recall of 0.7673, a F1 score of 0.7553, and an AUC of 0.8338 when inputting radiomics features during AP and clinical baseline indicators. Studies have shown that the proposed strategy can relatively accurately predict the recurrence outcome within three years, which is helpful for physicians to evaluate individual patients before surgery.",https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2022.1019009/full
21,The transformative potential of artificial intelligence in solid organ transplantation,"Mouhamad Al Moussawy, Zoe S. Lakkis, Zuhayr A. Ansari, Aravind R. Cherukuri, Khodor I. Abou-Daya",3/15/2024,"Abstract Solid organ transplantation confronts numerous challenges ranging from donor organ shortage to post-transplant complications. Here, we provide an overview of the latest attempts to address some of these challenges using artificial intelligence (AI). We delve into the application of machine learning in pretransplant evaluation, predicting transplant rejection, and post-operative patient outcomes. By providing a comprehensive overview of AI's current impact, this review aims to inform clinicians, researchers, and policy-makers about the transformative power of AI in enhancing solid organ transplantation and facilitating personalized medicine in transplant care.",https://www.frontiersin.org/journals/transplantation/articles/10.3389/frtra.2024.1361491/full
22,Research on the development of an intelligent prediction model for blood pressure variability during hemodialysis,"Zhijian Ren, Minqiao Zhang, Pingping Wang, Kanan Chen, Jing Wang, Lingping Wu, Yue Hong, Yihui Qu, Qun Luo, Kedan Cai",17-Feb-25,"Abstract

Objective
Blood pressure fluctuations during dialysis, including intradialytic hypotension (IDH) and intradialytic hypertension (IDHTN), are common complications among patients undergoing maintenance hemodialysis. Early prediction of IDH and IDHTN can help reduce the occurrence of these fluctuations. With the development of artificial intelligence, machine learning and deep learning models have become increasingly sophisticated in the field of hemodialysis. Utilizing machine learning to predict blood pressure fluctuations during dialysis has become a viable predictive method.

Methods
Our study included data from 67,524 hemodialysis sessions conducted at Ningbo No.2 Hospital and Xiangshan First People’s Hospital from August 1, 2019, to September 30, 2023. 47,053 sessions were used for model training and testing, while 20,471 sessions were used for external validation. We collected 45 features, including general information, vital signs, blood routine, blood biochemistry, and other relevant data. Data not meeting the inclusion criteria were excluded, and feature engineering was performed. The definitions of IDH and IDHTN were clarified, and 10 machine learning algorithms were used to build the models. For model development, the dialysis data were randomly split into a training set (80%) and a testing set (20%). To evaluate model performance, six metrics were used: accuracy, precision, recall, F1 score, ROC-AUC, and PR-AUC. Shapley Additive Explanation (SHAP) method was employed to identify eight key features, which were used to develop a clinical application utilizing the Streamlit framework.

Results
Statistical analysis showed that IDH occurred in 56.63% of hemodialysis sessions, while the incidence of IDHTN was 23.53%. Multiple machine learning models (e.g., CatBoost, RF) were developed to predict IDH and IDHTN events. XGBoost performed the best, achieving ROC-AUC scores of 0.89 for both IDH and IDHTN in internal validation, with PR-AUC scores of 0.95 and 0.78, and high accuracy, precision, recall, and F1 scores. The SHAP method identified pre-dialysis systolic blood pressure, BMI, and pre-dialysis mean arterial pressure as the top three important features. It has been translated into a convenient application for use in clinical .

Conclusion
Using machine learning models to predict IDH and IDHTN during hemodialysis is feasible and provides clinically reliable predictive performance. This can help timely implement interventions during hemodialysis to prevent problems, reduce blood pressure fluctuations during dialysis, and improve patient outcomes.",https://link.springer.com/article/10.1186/s12882-025-03959-x
23,"Research on the Nonlinear Relationship Between Carbon Emissions from Residential Land and the Built Environment: A Case Study of Susong County, Anhui Province Using the XGBoost-SHAP Model","Congguang Xu, Wei Xiong, Simin Zhang, Hailiang Shi, Shichao Wu, Shanju Bao, Tieqiao Xiao",20-Feb-25,"Abstract

Residential land is the basic unit of urban-scale carbon emissions (CEs). Quantifying and predicting CEs from residential land are conducive to achieving urban carbon neutrality. This study took 84 residential communities in Susong County, Anhui Province as its research object, exploring the nonlinear relationship between the urban built environment and CEs from residential land. By identifying CEs from residential land through building electricity consumption, 14 built environment indicators, including land area (LA), floor area ratio (FAR), greening ratio (GA), building density (BD), gross floor area (GFA), land use mix rate (Phh), and permanent population density (PPD), were selected to establish an interpretable machine learning (ML) model based on the XGBoost-SHAP attribution analysis framework. The research results show that, first, the goodness of fit of the XGBoost model reached 91.9%, and its prediction accuracy was better than that of gradient boosting decision tree (GBDT), random forest (RF), the Adaboost model, and the traditional logistic model. Second, compared with other ML models, the XGBoost-SHAP model explained the influencing factors of CEs from residential land more clearly. The SHAP attribution analysis results indicate that BD, FAR, and Phh were the most important factors affecting CEs. Third, there was a significant nonlinear relationship and threshold effect between built environment characteristic variables and CEs from residential land. Fourth, there was an interaction between different dimensions of environmental factors, and BD, FAR, and Phh played a dominant role in the interaction. Reducing FAR is considered to be an effective CE reduction strategy. This research provides practical suggestions for urban planners on reducing CEs from residential land, which has important policy implications and practical significance.",https://www.mdpi.com/2073-445X/14/3/440
